size,1,2,3,4,5,6,7,8,9,10,11,12
1000,0.000000,0.000000,0.000000,0.002000,0.000000,0.008000,0.000000,0.004000,0.002000,0.002000,0.004000,0.000000
101000,0.016000,0.022000,0.013000,0.017000,0.031000,0.009000,0.010000,0.014000,0.016000,0.009000,0.005000,0.002000
201000,0.037000,0.028000,0.028000,0.022000,0.029000,0.024000,0.020000,0.016000,0.015000,0.032000,0.028000,0.027000
301000,0.085000,0.043000,0.044000,0.041000,0.030000,0.035000,0.031000,0.026000,0.032000,0.025000,0.032000,0.032000
401000,0.117000,0.066000,0.049000,0.042000,0.048000,0.042000,0.028000,0.059000,0.060000,0.052000,0.041000,0.042000
501000,0.101000,0.070000,0.060000,0.058000,0.059000,0.061000,0.051000,0.053000,0.059000,0.049000,0.058000,0.050000
601000,0.117000,0.076000,0.075000,0.067000,0.084000,0.075000,0.056000,0.079000,0.077000,0.067000,0.061000,0.065000
701000,0.175000,0.133000,0.139000,0.124000,0.136000,0.120000,0.109000,0.100000,0.142000,0.170000,0.170000,0.190000
801000,0.281000,0.177000,0.141000,0.128000,0.162000,0.134000,0.099000,0.103000,0.133000,0.170000,0.216000,0.220000
901000,0.465000,0.165000,0.178000,0.156000,0.241000,0.150000,0.123000,0.112000,0.143000,0.163000,0.130000,0.165000
1001000,0.294000,0.142000,0.133000,0.123000,0.169000,0.140000,0.127000,0.095000,0.126000,0.137000,0.115000,0.110000
1101000,0.291000,0.131000,0.109000,0.109000,0.115000,0.096000,0.105000,0.090000,0.099000,0.111000,0.138000,0.119000
1201000,0.242000,0.172000,0.136000,0.131000,0.138000,0.171000,0.163000,0.143000,0.191000,0.193000,0.214000,0.146000
1301000,0.323000,0.257000,0.164000,0.155000,0.174000,0.163000,0.153000,0.150000,0.119000,0.137000,0.149000,0.128000
1401000,0.295000,0.185000,0.170000,0.154000,0.156000,0.131000,0.122000,0.118000,0.168000,0.146000,0.122000,0.134000
1501000,0.295000,0.213000,0.190000,0.151000,0.148000,0.158000,0.134000,0.140000,0.256000,0.186000,0.221000,0.151000
1601000,0.358000,0.237000,0.242000,0.165000,0.162000,0.137000,0.125000,0.125000,0.159000,0.143000,0.142000,0.135000
1701000,0.318000,0.208000,0.210000,0.225000,0.220000,0.210000,0.204000,0.210000,0.206000,0.206000,0.186000,0.198000
1801000,0.341000,0.200000,0.184000,0.167000,0.208000,0.224000,0.234000
