number_of_computed,matmul_mono,broadcast_time,common_time,dns_time
3000x1024x1024,33.088000,5.044000,3.120000,3.925000
3333x768x768,20.643000,2.939000,1.899000,2.363000
490x64x64,0.010000,0.001000,0.004000,0.002000
200x128x128,0.015000,0.002000,0.004000,0.003000
500x256x256,0.144000,0.022000,0.031000,0.017000
750x512x512,1.126000,0.140000,0.176000,0.117000
1000x178x178,0.146000,0.020000,0.033000,0.017000
3000x1024x1024,33.681000,4.381000,2.512000,3.560000
3333x768x768,16.787000,2.496000,1.664000,2.634000
490x64x64,0.015000,0.006000,0.010000,0.002000
200x128x128,0.020000,0.006000,0.015000,0.007000
500x256x256,0.196000,0.034000,0.045000,0.028000
750x512x512,1.220000,0.135000,0.159000,0.110000
1000x178x178,0.106000,0.015000,0.028000,0.016000
3000x1024x1024,25.935000,5.619000,3.520000,3.355000
3333x768x768,18.814000,2.224000,1.499000,1.922000
490x64x64,0.006000,0.001000,0.003000,0.002000
200x128x128,0.010000,0.002000,0.004000,0.002000
500x256x256,0.115000,0.016000,0.027000,0.017000
750x512x512,0.774000,0.120000,0.161000,0.104000
1000x178x178,0.109000,0.026000,0.044000,0.023000
