number_of_computed,matmul_mono,broadcast_time,common_time,dns_time
3000x1024x1024,30.106000,24.216000,14.790000,3.776000
3333x768x768,35.829000,15.371000,8.762000,2.427000
490x64x64,0.000000,0.014000,0.008000,0.004000
200x128x128,0.010000,0.004000,0.008000,0.007000
500x256x256,0.148000,0.037000,0.052000,0.037000
750x512x512,1.531000,0.253000,0.350000,0.134000
1000x178x178,0.182000,0.038000,0.064000,0.047000
3000x1024x1024,53.181000,22.950000,17.611000,3.701000
3333x768x768,39.189000,17.103000,9.134000,2.697000
490x64x64,0.000000,0.016000,0.006000,0.004000
200x128x128,0.017000,0.017000,0.009000,0.008000
500x256x256,0.232000,0.033000,0.068000,0.027000
750x512x512,1.563000,0.206000,0.357000,0.156000
1000x178x178,0.207000,0.049000,0.084000,0.043000
3000x1024x1024,60.434000,26.276000,16.270000,3.889000
3333x768x768,38.691000,17.848000,9.324000,2.597000
490x64x64,0.000000,0.016000,0.008000,0.001000
200x128x128,0.016000,0.000000,0.014000,0.005000
500x256x256,0.159000,0.055000,0.050000,0.018000
750x512x512,1.687000,0.231000,0.353000,0.152000
1000x178x178,0.159000,0.044000,0.064000,0.034000
3000x1024x1024,53.976000,22.728000,15.402000,3.931000
