number_of_computed,broadcast_time,common_time,dns_time
3000x1024x1024,17.942000,8.865000,4.139000
3333x768x768,15.464000,5.227000,2.796000
490x64x64,0.003000,0.012000,0.004000
200x128x128,0.006000,0.004000,0.005000
500x256x256,0.043000,0.044000,0.024000
750x512x512,0.154000,0.189000,0.164000
1000x178x178,0.026000,0.061000,0.044000
3000x1024x1024,17.155000,8.302000,4.075000
3333x768x768,13.486000,5.036000,2.814000
490x64x64,0.006000,0.009000,0.002000
200x128x128,0.005000,0.016000,0.008000
500x256x256,0.035000,0.040000,0.026000
750x512x512,0.166000,0.175000,0.130000
1000x178x178,0.042000,0.043000,0.030000
3000x1024x1024,16.973000,8.571000,4.495000
3333x768x768,13.584000,5.087000,3.359000
490x64x64,0.006000,0.010000,0.004000
200x128x128,0.019000,0.011000,0.006000
500x256x256,0.038000,0.034000,0.028000
750x512x512,0.150000,0.173000,0.140000
1000x178x178,0.039000,0.040000,0.037000
