number_of_computed,matmul_mono,broadcast_time,common_time,dns_time
3000x1024x1024,27.441000,4.882000,3.356000,4.113000
3333x768x768,21.739000,2.786000,2.519000,2.303000
490x64x64,0.006000,0.001000,0.002000,0.001000
200x128x128,0.011000,0.002000,0.004000,0.001000
500x256x256,0.109000,0.017000,0.027000,0.017000
750x512x512,0.785000,0.136000,0.154000,0.120000
1000x178x178,0.108000,0.018000,0.029000,0.018000
3000x1024x1024,35.049000,4.748000,3.123000,4.201000
3333x768x768,21.710000,3.493000,1.792000,2.889000
490x64x64,0.008000,0.002000,0.003000,0.001000
200x128x128,0.013000,0.002000,0.004000,0.002000
500x256x256,0.148000,0.020000,0.030000,0.019000
750x512x512,0.975000,0.141000,0.175000,0.121000
1000x178x178,0.144000,0.021000,0.032000,0.018000
3000x1024x1024,35.405000,4.708000,2.910000,4.259000
3333x768x768,22.170000,2.820000,1.816000,2.612000
490x64x64,0.009000,0.001000,0.004000,0.001000
200x128x128,0.013000,0.002000,0.004000,0.002000
500x256x256,0.148000,0.022000,0.032000,0.018000
750x512x512,1.092000,0.140000,0.175000,0.124000
1000x178x178,0.137000,0.022000,0.033000,0.019000
