rows,cols,qr_time,reconstruction_error,eigen_time
3000,1024,8.358000,6.636098e-18,126.849000
3333,768,6.342000,5.881611e-18,77.920000
490,64,0.057000,8.147455e-21,5.038000
200,128,0.103000,8.503603e-21,10.057000
500,256,0.227000,5.716073e-20,27.562000
750,512,0.678000,2.882635e-19,64.672000
1000,178,0.184000,1.782285e-19,14.340000
3000,1024,7.065000,6.459185e-18,124.921000
3333,768,6.309000,6.762336e-18,80.007000
490,64,0.081000,1.770766e-20,7.811000
200,128,0.157000,7.835722e-21,10.892000
500,256,0.220000,4.978609e-20,20.894000
750,512,0.470000,2.399565e-19,45.610000
1000,178,0.183000,1.506489e-19,14.081000
3000,1024,7.280000,5.822124e-18,126.769000
3333,768,6.770000,5.711369e-18,92.359000
490,64,0.055000,1.617630e-20,5.043000
200,128,0.104000,6.209243e-21,10.031000
500,256,0.215000,5.015433e-20,20.743000
750,512,0.467000,3.318456e-19,45.528000
1000,178,0.186000,1.527725e-19,14.026000
